International Designator,National Designator,Name of Space Object,State/Organization,Date of Launch,GSO Location,UN Registered,Registration Document,Other Documents,Status,Date of Decay or Change,Function of Space Object,Secretariat`s Remarks,External website,_year
2020-104A,,CSO 2 ,France,12/29/2020,,Yes,ST/SG/SER.E/982,,in orbit,,Earth observation,------,,2020
2020-103A,,Yaogan 33 ,China,12/27/2020,,Yes,ST/SG/SER.E/1033,,in orbit,,Remote sensing satellite,------,,2020
2020-103B,,Weina 2 ,China,12/27/2020,,Yes,ST/SG/SER.E/1033,,in orbit,,Remote sensing satellite,------,,2020
2020-102B,,Haisi 1 ,China,12/22/2020,,Yes,ST/SG/SER.E/1033,,in orbit,,Used for space science experiments and technological verification,------,,2020
2020-102E,,SMART01 A [ET SMART-RSS],China,12/22/2020,,Yes,ST/SG/SER.E/1033,,[decayed],[2023-10-21],Earth observation satellite,------,,2020
2020-102D,,Tianqi 8 ,China,12/22/2020,[------],Yes,ST/SG/SER.E/1033,,[decayed],[2024-06-14],Communications satellite,------,,2020
2020-102A,,Yuanguang ,China,12/22/2020,[------],Yes,ST/SG/SER.E/1033,,[decayed],[2024-06-15],Used for space science experiments and technological verification,------,,2020
2020-101A,,USA 312 ,USA,12/19/2020,,Yes,ST/SG/SER.E/971,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-101B,,USA 313 ,USA,12/19/2020,,Yes,ST/SG/SER.E/971,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-100F,47263,OWLID00080 (SL0117) [ONEWEB 0117],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AF,47287,OWLID00104 (SL0141) [ONEWEB 0141],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AH,47289,OWLID00106 (SL0143) [ONEWEB 0143],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100Z,47281,OWLID00098 (SL0135) [ONEWEB 0135],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AB,47283,OWLID00100 (SL0137) [ONEWEB 0137],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AC,47284,OWLID00101 (SL0138) [ONEWEB 0138],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AD,47285,OWLID00102 (SL0139) [ONEWEB 0139],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AE,47286,OWLID00103 (SL0140) [ONEWEB 0140],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AG,47288,OWLID00105 (SL0142) [ONEWEB 0142],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AA,47282,OWLID00099 (SL0136) [ONEWEB 0136],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100G,47264,OWLID00081 (SL0118) [ONEWEB 0118],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100W,47278,OWLID00095 (SL0132) [ONEWEB 0132],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100Q,47272,OWLID00089 (SL0126) [ONEWEB 0126],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100R,47273,OWLID00090 (SL0127) [ONEWEB 0127],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100S,47274,OWLID00091 (SL0128) [ONEWEB 0128],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100T,47275,OWLID00092 (SL0129) [ONEWEB 0129],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100U,47276,OWLID00093 (SL0130) [ONEWEB 0130],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100X,47279,OWLID00096 (SL0133) [ONEWEB 0133],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100V,47277,OWLID00094 (SL0131) [ONEWEB 0131],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100Y,47280,OWLID00097 (SL0134) [ONEWEB 0134],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100K,47267,OWLID00084 (SL0121) [ONEWEB 0121],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100L,47268,OWLID00085 (SL0122) [ONEWEB 0122],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100C,47260,OWLID00077 (SL0110) [ONEWEB 0110],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100D,47261,OWLID00078 (SL0111) [ONEWEB 0111],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100E,47262,OWLID00079 (SL0114) [ONEWEB 0114],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100N,47270,OWLID00087 (SL0124) [ONEWEB 0124],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100P,47271,OWLID00088 (SL0125) [ONEWEB 0125],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100B,47259,OWLID00076 (SL0109) [ONEWEB 0109],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100A,47258,OWLID00075 (SL0102) [ONEWEB 0102],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100M,47269,OWLID00086 (SL0123) [ONEWEB 0123],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100J,47266,OWLID00083 (SL0120) [ONEWEB 0120],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AK,47291,OWLID00108 (SL0145) [ONEWEB 0145],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AL,47292,OWLID00109 (SL0146) [ONEWEB 0146],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AJ,47290,OWLID00107 (SL0144) [ONEWEB 0144],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100AM,47293,OWLID00110 (SL0147) [ONEWEB 0147],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-100H,47265,OWLID00082 (SL0119) [ONEWEB 0119],United Kingdom,12/18/2020,,Yes,ST/SG/SER.E/965,ST/SG/SER.E/968,in orbit,,Communications satellite,State of registry notes that given Basic Orbital Parameters are for the intended final orbit which should be achieved by 2021-04-30. Mentioned by the Russian Federation in ST/SG/SER.E/968.,Link,2020
2020-099A,,CMS 01 ,India,12/17/2020,[+83.0 degrees East],Yes,ST/SG/SER.E/1005,,in GSO,,Communications,------,,2020
2020-098A,,StriX α [(STRIX ALPHA)],Japan,12/15/2020,,Yes,ST/SG/SER.E/1011,ST/SG/SER.E/1240,decayed,10/27/2023,"StriX-α is the first SAR (Synthetic Aperture Rader) satellite made by Synspective Inc. to test capability of the SAR imagery (remote sensing) technology, including the uplink and downlink functionality and antenna signal strength.",Mentioned by New Zealand in ST/SG/SER.E/976.,Link,2020
[2020-097A],3560-2020-012,Full-scale model [IPM 2],Russian Federation,12/14/2020,,Yes,ST/SG/SER.E/968,,in GSO,,Full-scale model,------,,2020
2020-096A,,XM 7 ,USA,12/13/2020,[-085.0 degrees East],Yes,ST/SG/SER.E/971,,in GSO,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-095A,,USA 311 ,USA,12/11/2020,,Yes,ST/SG/SER.E/971,,[in GSO],,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-094A,,GECAM A ,China,12/9/2020,,Yes,ST/SG/SER.E/1033,,in orbit,,Monitoring high-energy electromagnetic counterparts from gravitational wave events,------,,2020
2020-094B,,GECAM B ,China,12/9/2020,,Yes,ST/SG/SER.E/1033,,in orbit,,Monitoring high-energy electromagnetic counterparts from gravitational wave events,------,,2020
2020-092A,,Gaofen 14 ,China,12/6/2020,,Yes,ST/SG/SER.E/1033,,in orbit,,Remote sensing satellite,------,,2020
2020-093A,,Dragon CRS-21 ,USA,12/6/2020,,Yes,ST/SG/SER.E/971,ST/SG/SER.E/977,[recovered],1/14/2021,Reusable space transportation systems,------,,2020
[2020-091D],3559-2020-011,Cosmos 2548 ,Russian Federation,12/3/2020,,Yes,ST/SG/SER.E/968,,in orbit,,Intended for assignments on behalf of the Ministry of Defence of the Russian Federation,------,,2020
[2020-091B],3557-2020-011,Gonets M No.31  ,Russian Federation,12/3/2020,,Yes,ST/SG/SER.E/968,,in orbit,,Telecommunications,------,,2020
[2020-091C],3558-2020-011,Gonets M No.32  ,Russian Federation,12/3/2020,,Yes,ST/SG/SER.E/968,,in orbit,,Telecommunications,------,,2020
[2020-091A],3556-2020-011,Gonets M No.30  ,Russian Federation,12/3/2020,,Yes,ST/SG/SER.E/968,,in orbit,,Telecommunications,------,,2020
2020-090A,,Falcon Eye 2 ,United Arab Emirates,12/2/2020,,Yes,ST/SG/SER.E/972,,in orbit,,Optical satellite for Earth observation on a Sun synchronous orbit,------,,2020
2020-089A,2020-089A,Japanese Data Relay System (JDRS) [LUCAS (JDRS-1)],Japan,11/29/2020,,Yes,ST/SG/SER.E/1011,,in GSO,,Satellite conducting missions assigned by the Government of Japan,------,,2020
2020-088J,,Starlink 1839 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1131,[deorbited],5/3/2023,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AW,,Starlink 1881 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1116,[deorbited],2/28/2023,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AJ,,Starlink 1868 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1179,[deorbited],10/1/2023,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088BM,,Starlink 1927 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1222,[deorbited],7/18/2024,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AA,,Starlink 1859 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1071,decayed,4/3/2022,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088BG,,Starlink 1900 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1004,decayed,4/17/2021,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088X,,Starlink 1856 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088T,,Starlink 1852 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088V,,Starlink 1854 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AB,,Starlink 1860 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AC,,Starlink 1861 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AE,,Starlink 1863 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AF,,Starlink 1864 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AG,,Starlink 1866 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088M,,Starlink 1843 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088P,,Starlink 1845 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AM,,Starlink 1871 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AN,,Starlink 1873 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AR,,Starlink 1876 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088BJ,,Starlink 1912 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088BK,,Starlink 1913 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088BB,,Starlink 1888 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088BF,,Starlink 1895 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AV,,Starlink 1880  ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088A,,Starlink 1777 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088C,,Starlink 1785 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088E,,Starlink 1812 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,,in orbit,,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088K,,Starlink 1840 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1050,[deorbited],1/29/2022,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088U,,Starlink 1853 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1050,[deorbited],1/28/2022,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AL,,Starlink 1870 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1071,[deorbited],4/24/2022,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088BC,,Starlink 1889 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1071,[deorbited],4/9/2022,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AQ,,Starlink 1875 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1034,[deorbited],11/29/2021,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AP,,Starlink 1874 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1076,[deorbited],6/28/2022,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088L,,Starlink 1842 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1024,[deorbited],7/5/2021,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088B,,Starlink 1779 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1031,[deorbited],8/26/2021,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088W,,Starlink 1855 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1031,[deorbited],9/11/2021,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088D,,Starlink 1787 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1031,[deorbited],9/13/2021,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AZ,,Starlink 1886 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1031,[deorbited],10/22/2021,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088F,,Starlink 1836 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1031,[deorbited],10/3/2021,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088BL,,Starlink 1914 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1031,[deorbited],10/30/2021,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AY,,Starlink 1885 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1080,[deorbited],8/14/2022,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088Z,,Starlink 1858 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1080,[deorbited],8/9/2022,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088N,,Starlink 1844 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1249,[deorbited],12/18/2024,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088G,,Starlink 1837 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1249,[deorbited],12/28/2024,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088H,,Starlink 1838 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1302,[deorbited],5/8/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AX,,Starlink 1884 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1270,[deorbited],1/14/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088BD,,Starlink 1890 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1302,[deorbited],6/30/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AT,,Starlink 1878 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1270,[deorbited],1/23/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088BE,,Starlink 1891 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1270,[deorbited],1/9/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088Y,,Starlink 1857 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1287,[deorbited],2/22/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088Q,,Starlink 1846 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1287,[deorbited],2/22/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AH,,Starlink 1867 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1290,[deorbited],4/1/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088S,,Starlink 1850 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1290,[deorbited],3/19/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AU,,Starlink 1879 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1290,[deorbited],4/5/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088AK,,Starlink 1869 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1290,[deorbited],3/11/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088BH,,Starlink 1907 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1290,[deorbited],3/5/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
2020-088BA,,Starlink 1887 ,USA,11/25/2020,,Yes,ST/SG/SER.E/967,ST/SG/SER.E/1270,[deorbited],1/28/2025,Spacecraft engaged in practical applications and uses of space technology such as weather or communications,------,,2020
